server,payload_size,rtt_min,rtt_max,rtt_avg,rtt_std
atl.speedtest.clouvider.net,850,145.598,162.515,154.672,6.379
atl.speedtest.clouvider.net,860,142.872,206.373,162.411,26.073
atl.speedtest.clouvider.net,870,150.133,166.929,162.055,6.933
atl.speedtest.clouvider.net,880,146.556,171.73,157.157,10.921
atl.speedtest.clouvider.net,890,139.602,150.614,146.563,4.157
atl.speedtest.clouvider.net,900,130.684,168.896,152.39,14.782
atl.speedtest.clouvider.net,910,151.521,192.245,166.599,16.459
atl.speedtest.clouvider.net,920,171.609,211.621,181.907,17.158
atl.speedtest.clouvider.net,930,158.398,190.73,176.61,13.354
atl.speedtest.clouvider.net,940,134.952,192.299,157.454,21.215
atl.speedtest.clouvider.net,950,132.62,165.892,156.643,13.917
atl.speedtest.clouvider.net,960,138.365,156.795,146.477,6.731
atl.speedtest.clouvider.net,970,132.794,169.03,149.531,14.188
atl.speedtest.clouvider.net,980,136.958,215.916,176.586,27.921
atl.speedtest.clouvider.net,990,147.57,189.59,168.383,19.25
atl.speedtest.clouvider.net,1000,152.401,188.07,161.962,15.092
atl.speedtest.clouvider.net,1010,143.188,191.411,168.17,21.855
atl.speedtest.clouvider.net,1020,149.267,192.937,165.942,16.288
atl.speedtest.clouvider.net,1030,140.029,181.576,153.534,16.42
atl.speedtest.clouvider.net,1040,149.09,190.906,167.778,17.689
atl.speedtest.clouvider.net,1050,139.132,197.626,164.391,21.079
atl.speedtest.clouvider.net,1060,149.644,190.835,174.366,16.737
atl.speedtest.clouvider.net,1070,135.206,191.356,166.984,23.91
atl.speedtest.clouvider.net,1080,135.504,195.366,162.513,21.365
atl.speedtest.clouvider.net,1090,137.464,353.633,205.614,86.788
atl.speedtest.clouvider.net,1100,141.491,212.972,168.069,27.193
atl.speedtest.clouvider.net,1110,150.862,204.594,175.2,24.203
atl.speedtest.clouvider.net,1120,135.351,177.35,156.93,20.064
atl.speedtest.clouvider.net,1130,144.417,185.956,156.897,16.947
atl.speedtest.clouvider.net,1140,152.353,205.715,166.309,22.765
atl.speedtest.clouvider.net,1150,144.817,186.907,163.426,17.186
atl.speedtest.clouvider.net,1160,146.35,157.371,150.302,4.396
atl.speedtest.clouvider.net,1170,154.092,235.806,192.269,34.791
atl.speedtest.clouvider.net,1180,139.687,199.759,168.548,21.804
atl.speedtest.clouvider.net,1190,149.638,212.09,176.755,22.666
atl.speedtest.clouvider.net,1200,142.549,152.283,147.648,3.544
atl.speedtest.clouvider.net,1210,145.372,186.77,164.266,17.486
atl.speedtest.clouvider.net,1220,143.603,199.649,166.86,20.423
atl.speedtest.clouvider.net,1230,150.254,197.649,166.458,18.908
atl.speedtest.clouvider.net,1240,147.825,191.5,169.446,20.731
atl.speedtest.clouvider.net,1250,136.547,177.725,153.214,15.443
atl.speedtest.clouvider.net,1260,155.327,188.875,166.576,13.101
atl.speedtest.clouvider.net,1270,145.021,205.746,166.034,23.713
atl.speedtest.clouvider.net,1280,147.168,191.85,166.641,19.739
atl.speedtest.clouvider.net,1290,149.48,201.75,176.115,25.046
atl.speedtest.clouvider.net,1300,143.788,158.179,149.847,5.405
atl.speedtest.clouvider.net,1310,138.726,170.745,155.228,11.519
atl.speedtest.clouvider.net,1320,136.542,169.697,152.97,15.498
atl.speedtest.clouvider.net,1330,137.981,188.25,159.486,18.599
atl.speedtest.clouvider.net,1340,151.683,191.868,163.528,16.529
atl.speedtest.clouvider.net,1350,137.989,188.505,158.465,18.642
atl.speedtest.clouvider.net,1360,157.109,196.377,170.702,15.215
atl.speedtest.clouvider.net,1370,153.323,192.819,176.856,16.404
atl.speedtest.clouvider.net,1380,147.591,200.212,167.331,19.816
atl.speedtest.clouvider.net,1390,137.183,202.23,165.207,23.435
atl.speedtest.clouvider.net,1400,149.647,189.504,162.043,16.097
atl.speedtest.clouvider.net,1410,151.111,189.734,164.651,15.043
atl.speedtest.clouvider.net,1420,139.77,214.303,174.66,26.854
atl.speedtest.clouvider.net,1430,138.634,187.089,155.631,18.614
atl.speedtest.clouvider.net,1440,150.608,190.51,169.328,17.324
atl.speedtest.clouvider.net,1450,148.91,190.565,170.249,19.473
atl.speedtest.clouvider.net,1460,150.883,188.768,162.654,15.277
atl.speedtest.clouvider.net,1470,152.037,199.404,182.26,17.992
nyc.speedtest.clouvider.net,20,128.396,190.832,155.259,22.517
nyc.speedtest.clouvider.net,30,130.531,169.869,150.22,19.255
nyc.speedtest.clouvider.net,40,128.345,190.634,155.227,22.451
nyc.speedtest.clouvider.net,50,130.656,170.605,150.243,18.947
nyc.speedtest.clouvider.net,60,149.778,190.652,170.42,19.275
nyc.speedtest.clouvider.net,70,139.175,191.515,158.411,19.806
nyc.speedtest.clouvider.net,80,123.222,199.705,160.654,27.06
nyc.speedtest.clouvider.net,90,151.651,192.533,172.097,20.0
nyc.speedtest.clouvider.net,100,149.471,190.616,170.04,19.118
nyc.speedtest.clouvider.net,110,129.07,190.669,155.476,22.234
nyc.speedtest.clouvider.net,120,113.808,169.071,136.74,20.1
nyc.speedtest.clouvider.net,130,150.648,191.679,171.064,19.418
nyc.speedtest.clouvider.net,140,142.255,195.499,162.199,20.02
nyc.speedtest.clouvider.net,150,120.552,161.173,136.27,16.432
nyc.speedtest.clouvider.net,160,130.585,188.275,149.463,23.252
nyc.speedtest.clouvider.net,170,150.569,191.767,170.966,19.348
nyc.speedtest.clouvider.net,180,143.157,191.617,168.317,21.792
nyc.speedtest.clouvider.net,190,132.113,189.354,155.936,20.826
nyc.speedtest.clouvider.net,200,150.538,196.795,172.596,21.225
nyc.speedtest.clouvider.net,210,115.35,173.899,137.939,22.798
nyc.speedtest.clouvider.net,220,129.317,169.118,148.899,18.536
nyc.speedtest.clouvider.net,230,129.322,191.791,156.369,22.486
nyc.speedtest.clouvider.net,240,129.526,170.643,150.141,19.519
nyc.speedtest.clouvider.net,250,128.418,190.215,155.059,22.288
nyc.speedtest.clouvider.net,260,129.94,175.33,151.984,21.055
nyc.speedtest.clouvider.net,270,124.579,175.883,147.524,18.343
nyc.speedtest.clouvider.net,280,128.547,169.604,148.999,19.034
nyc.speedtest.clouvider.net,290,150.92,191.831,171.293,19.409
nyc.speedtest.clouvider.net,300,123.357,199.008,165.265,30.309
nyc.speedtest.clouvider.net,310,149.136,187.787,162.761,15.151
nyc.speedtest.clouvider.net,320,119.003,152.592,138.226,14.074
nyc.speedtest.clouvider.net,330,129.275,152.391,137.225,9.372
nyc.speedtest.clouvider.net,340,130.183,159.605,144.308,11.424
nyc.speedtest.clouvider.net,350,131.565,171.877,151.248,14.332
nyc.speedtest.clouvider.net,360,122.215,154.563,140.574,13.582
nyc.speedtest.clouvider.net,370,142.533,232.382,182.848,35.25
nyc.speedtest.clouvider.net,380,132.239,188.675,156.364,20.403
nyc.speedtest.clouvider.net,390,142.801,191.794,168.481,22.104
nyc.speedtest.clouvider.net,400,149.516,190.788,170.364,19.443
nyc.speedtest.clouvider.net,410,148.774,189.868,169.309,19.297
nyc.speedtest.clouvider.net,420,149.637,191.582,170.596,19.537
nyc.speedtest.clouvider.net,430,140.219,190.769,158.536,19.19
nyc.speedtest.clouvider.net,440,131.731,202.421,160.529,26.412
nyc.speedtest.clouvider.net,450,126.803,181.391,150.04,20.283
nyc.speedtest.clouvider.net,460,142.639,161.591,152.115,9.476
nyc.speedtest.clouvider.net,470,141.68,188.643,164.728,21.484
nyc.speedtest.clouvider.net,480,142.027,180.626,160.358,17.049
nyc.speedtest.clouvider.net,490,141.893,162.431,151.089,7.677
nyc.speedtest.clouvider.net,500,147.155,194.819,168.05,18.677
nyc.speedtest.clouvider.net,510,131.468,152.332,143.066,8.408
nyc.speedtest.clouvider.net,520,127.741,201.198,171.77,30.224
nyc.speedtest.clouvider.net,530,127.485,182.098,146.528,21.088
nyc.speedtest.clouvider.net,540,135.786,193.592,158.936,21.275
nyc.speedtest.clouvider.net,550,141.588,206.956,169.063,23.715
nyc.speedtest.clouvider.net,560,129.836,188.992,154.543,22.349
nyc.speedtest.clouvider.net,570,129.411,191.489,159.152,24.32
nyc.speedtest.clouvider.net,580,128.286,191.781,161.796,23.774
nyc.speedtest.clouvider.net,590,132.428,192.578,157.777,23.772
nyc.speedtest.clouvider.net,600,132.178,192.727,154.026,24.294
nyc.speedtest.clouvider.net,610,129.203,174.752,152.07,18.058
nyc.speedtest.clouvider.net,620,131.454,185.564,147.792,21.933
nyc.speedtest.clouvider.net,630,116.47,173.018,139.96,20.584
nyc.speedtest.clouvider.net,640,143.184,188.657,160.921,17.096
nyc.speedtest.clouvider.net,650,143.235,196.442,159.423,21.503
nyc.speedtest.clouvider.net,660,121.719,185.504,152.687,23.453
nyc.speedtest.clouvider.net,670,132.75,211.362,171.717,27.795
nyc.speedtest.clouvider.net,680,147.489,189.985,168.418,19.812
nyc.speedtest.clouvider.net,690,134.823,192.047,166.536,24.518
nyc.speedtest.clouvider.net,700,150.036,188.608,163.706,15.238
nyc.speedtest.clouvider.net,710,138.205,191.586,158.02,20.117
nyc.speedtest.clouvider.net,720,131.681,201.75,161.434,25.788
nyc.speedtest.clouvider.net,730,130.354,173.174,149.04,15.414
nyc.speedtest.clouvider.net,740,146.597,210.135,178.228,23.588
nyc.speedtest.clouvider.net,750,129.282,197.776,161.298,28.138
nyc.speedtest.clouvider.net,760,132.639,200.019,156.375,27.134
nyc.speedtest.clouvider.net,770,134.908,162.701,145.846,10.59
nyc.speedtest.clouvider.net,780,135.566,177.319,149.81,16.274
nyc.speedtest.clouvider.net,790,142.286,184.653,156.691,16.833
nyc.speedtest.clouvider.net,800,137.779,182.227,150.962,18.171
nyc.speedtest.clouvider.net,810,149.626,186.655,167.314,16.546
nyc.speedtest.clouvider.net,820,144.538,178.863,159.785,12.738
nyc.speedtest.clouvider.net,830,132.61,157.933,143.437,9.551
nyc.speedtest.clouvider.net,840,129.709,217.335,171.673,31.042
nyc.speedtest.clouvider.net,850,140.366,191.415,156.524,20.491
nyc.speedtest.clouvider.net,860,128.497,206.682,174.45,32.063
nyc.speedtest.clouvider.net,870,134.856,181.775,157.646,20.235
nyc.speedtest.clouvider.net,880,143.368,197.237,161.777,20.902
