server,payload_size,rtt_min,rtt_max,rtt_avg,rtt_std
atl.speedtest.clouvider.net,20,98.811,98.977,98.888,0.059
atl.speedtest.clouvider.net,30,98.841,98.945,98.892,0.037
atl.speedtest.clouvider.net,40,98.858,98.942,98.903,0.029
atl.speedtest.clouvider.net,50,98.867,99.074,98.954,0.081
atl.speedtest.clouvider.net,60,98.875,99.168,98.986,0.113
atl.speedtest.clouvider.net,70,98.89,99.04,98.933,0.061
atl.speedtest.clouvider.net,80,98.799,99.017,98.918,0.078
atl.speedtest.clouvider.net,90,98.863,99.246,99.058,0.158
atl.speedtest.clouvider.net,100,98.875,99.068,98.973,0.068
atl.speedtest.clouvider.net,110,98.822,99.098,98.95,0.098
atl.speedtest.clouvider.net,120,98.847,98.964,98.916,0.044
atl.speedtest.clouvider.net,130,98.929,98.996,98.951,0.026
atl.speedtest.clouvider.net,140,98.87,99.068,98.941,0.076
atl.speedtest.clouvider.net,150,98.89,98.943,98.906,0.021
atl.speedtest.clouvider.net,160,98.832,99.012,98.922,0.063
atl.speedtest.clouvider.net,170,98.896,99.031,98.966,0.048
atl.speedtest.clouvider.net,180,98.833,99.112,98.95,0.101
atl.speedtest.clouvider.net,190,98.893,99.172,99.002,0.105
atl.speedtest.clouvider.net,200,98.868,98.987,98.932,0.042
atl.speedtest.clouvider.net,210,98.906,99.209,99.001,0.121
atl.speedtest.clouvider.net,220,98.81,98.956,98.901,0.055
atl.speedtest.clouvider.net,230,98.811,98.952,98.898,0.052
atl.speedtest.clouvider.net,240,98.9,99.533,99.067,0.269
atl.speedtest.clouvider.net,250,98.87,99.239,99.038,0.157
atl.speedtest.clouvider.net,260,98.845,99.095,98.921,0.102
atl.speedtest.clouvider.net,270,98.801,98.997,98.909,0.071
atl.speedtest.clouvider.net,280,98.857,99.079,98.937,0.085
atl.speedtest.clouvider.net,290,98.945,99.389,99.075,0.183
atl.speedtest.clouvider.net,300,98.931,99.118,99.04,0.077
atl.speedtest.clouvider.net,310,98.882,98.956,98.901,0.031
atl.speedtest.clouvider.net,320,98.889,99.0,98.945,0.039
atl.speedtest.clouvider.net,330,98.834,99.08,98.946,0.09
atl.speedtest.clouvider.net,340,98.88,99.063,98.956,0.073
atl.speedtest.clouvider.net,350,98.859,98.982,98.905,0.048
atl.speedtest.clouvider.net,360,98.854,99.129,98.971,0.099
atl.speedtest.clouvider.net,370,98.874,99.145,98.948,0.113
atl.speedtest.clouvider.net,380,98.809,98.981,98.919,0.065
atl.speedtest.clouvider.net,390,98.886,98.954,98.912,0.025
atl.speedtest.clouvider.net,400,98.852,99.324,98.998,0.189
atl.speedtest.clouvider.net,410,98.834,98.974,98.915,0.05
atl.speedtest.clouvider.net,420,98.946,99.073,98.986,0.051
atl.speedtest.clouvider.net,430,98.892,99.084,98.957,0.074
atl.speedtest.clouvider.net,440,98.869,99.041,98.951,0.063
atl.speedtest.clouvider.net,450,98.889,98.923,98.911,0.013
atl.speedtest.clouvider.net,460,98.871,98.924,98.905,0.021
atl.speedtest.clouvider.net,470,98.878,98.936,98.917,0.023
atl.speedtest.clouvider.net,480,98.856,99.076,98.95,0.081
atl.speedtest.clouvider.net,490,98.866,98.995,98.92,0.048
atl.speedtest.clouvider.net,500,98.897,99.102,98.958,0.084
atl.speedtest.clouvider.net,510,98.872,99.035,98.936,0.06
atl.speedtest.clouvider.net,520,98.827,99.093,98.944,0.095
atl.speedtest.clouvider.net,530,98.844,99.001,98.926,0.058
atl.speedtest.clouvider.net,540,98.819,99.011,98.913,0.067
atl.speedtest.clouvider.net,550,98.883,99.253,98.998,0.148
atl.speedtest.clouvider.net,560,98.96,99.064,99.001,0.041
atl.speedtest.clouvider.net,570,98.848,99.004,98.918,0.059
atl.speedtest.clouvider.net,580,98.835,99.244,98.996,0.153
atl.speedtest.clouvider.net,590,98.865,99.246,98.987,0.151
atl.speedtest.clouvider.net,600,98.863,98.951,98.9,0.036
atl.speedtest.clouvider.net,610,98.831,99.003,98.919,0.061
atl.speedtest.clouvider.net,620,98.875,99.311,99.027,0.167
atl.speedtest.clouvider.net,630,98.872,98.992,98.925,0.05
