server,payload_size,rtt_min,rtt_max,rtt_avg,rtt_std
atl.speedtest.clouvider.net,850,98.863,99.063,98.916,0.084
atl.speedtest.clouvider.net,860,98.857,98.932,98.889,0.032
atl.speedtest.clouvider.net,870,98.85,98.962,98.91,0.045
atl.speedtest.clouvider.net,880,98.811,99.116,98.935,0.113
atl.speedtest.clouvider.net,890,98.903,99.234,99.07,0.124
atl.speedtest.clouvider.net,900,98.903,99.17,99.024,0.116
atl.speedtest.clouvider.net,910,98.909,99.214,98.987,0.13
atl.speedtest.clouvider.net,920,98.864,98.989,98.912,0.051
atl.speedtest.clouvider.net,930,98.808,98.991,98.919,0.067
atl.speedtest.clouvider.net,940,98.914,99.21,99.035,0.118
atl.speedtest.clouvider.net,950,98.886,98.925,98.903,0.014
atl.speedtest.clouvider.net,960,98.839,99.082,98.976,0.095
atl.speedtest.clouvider.net,970,98.859,98.919,98.895,0.023
atl.speedtest.clouvider.net,980,98.891,99.087,98.983,0.083
atl.speedtest.clouvider.net,990,98.866,99.22,99.026,0.138
atl.speedtest.clouvider.net,1000,98.84,98.912,98.877,0.029
atl.speedtest.clouvider.net,1010,98.819,98.932,98.887,0.044
atl.speedtest.clouvider.net,1020,98.882,98.908,98.892,0.009
atl.speedtest.clouvider.net,1030,98.852,99.027,98.94,0.064
atl.speedtest.clouvider.net,1040,98.828,99.149,98.948,0.121
atl.speedtest.clouvider.net,1050,98.829,99.216,98.962,0.149
atl.speedtest.clouvider.net,1060,98.846,99.2,98.963,0.138
atl.speedtest.clouvider.net,1070,98.854,98.961,98.92,0.039
atl.speedtest.clouvider.net,1080,98.801,99.223,98.99,0.165
atl.speedtest.clouvider.net,1090,98.839,99.098,98.935,0.099
atl.speedtest.clouvider.net,1100,98.835,98.928,98.896,0.036
atl.speedtest.clouvider.net,1110,98.869,99.099,98.962,0.086
atl.speedtest.clouvider.net,1120,98.924,99.076,98.994,0.063
atl.speedtest.clouvider.net,1130,98.9,99.054,98.974,0.06
atl.speedtest.clouvider.net,1140,98.849,99.032,98.928,0.069
atl.speedtest.clouvider.net,1150,98.887,99.071,98.943,0.074
atl.speedtest.clouvider.net,1160,98.835,98.921,98.897,0.036
atl.speedtest.clouvider.net,1170,98.816,99.113,98.924,0.114
atl.speedtest.clouvider.net,1180,98.857,99.281,99.009,0.161
atl.speedtest.clouvider.net,1190,98.836,98.949,98.904,0.041
atl.speedtest.clouvider.net,1200,98.889,99.049,98.933,0.066
atl.speedtest.clouvider.net,1210,98.83,99.114,98.934,0.108
atl.speedtest.clouvider.net,1220,98.9,99.169,98.994,0.106
atl.speedtest.clouvider.net,1230,98.914,98.969,98.931,0.022
atl.speedtest.clouvider.net,1240,98.843,98.936,98.884,0.039
atl.speedtest.clouvider.net,1250,98.872,98.917,98.895,0.016
atl.speedtest.clouvider.net,1260,98.891,99.062,98.96,0.067
atl.speedtest.clouvider.net,1270,98.79,98.911,98.86,0.045
atl.speedtest.clouvider.net,1280,98.81,99.148,98.924,0.131
atl.speedtest.clouvider.net,1290,98.808,98.915,98.879,0.043
atl.speedtest.clouvider.net,1300,98.824,98.979,98.888,0.06
atl.speedtest.clouvider.net,1310,98.887,98.926,98.9,0.015
atl.speedtest.clouvider.net,1320,98.843,99.023,98.917,0.065
atl.speedtest.clouvider.net,1330,98.859,99.229,98.975,0.148
atl.speedtest.clouvider.net,1340,98.873,98.977,98.925,0.042
atl.speedtest.clouvider.net,1350,98.885,99.081,98.959,0.073
atl.speedtest.clouvider.net,1360,98.871,98.908,98.889,0.014
atl.speedtest.clouvider.net,1370,98.853,99.179,98.949,0.133
atl.speedtest.clouvider.net,1380,98.843,99.181,98.97,0.126
atl.speedtest.clouvider.net,1390,98.894,98.978,98.938,0.035
atl.speedtest.clouvider.net,1400,98.899,98.974,98.931,0.029
atl.speedtest.clouvider.net,1410,98.819,98.895,98.852,0.028
atl.speedtest.clouvider.net,1420,98.835,99.033,98.923,0.071
atl.speedtest.clouvider.net,1430,98.852,98.895,98.875,0.015
atl.speedtest.clouvider.net,1440,98.859,98.965,98.909,0.039
atl.speedtest.clouvider.net,1450,98.862,99.027,98.936,0.058
atl.speedtest.clouvider.net,1460,97.89,98.011,97.952,0.046
atl.speedtest.clouvider.net,1470,97.853,97.937,97.89,0.03
nyc.speedtest.clouvider.net,20,96.097,96.302,96.212,0.085
nyc.speedtest.clouvider.net,40,96.195,96.382,96.258,0.072
nyc.speedtest.clouvider.net,50,96.176,96.517,96.305,0.127
nyc.speedtest.clouvider.net,60,96.18,96.339,96.273,0.064
nyc.speedtest.clouvider.net,70,96.121,96.22,96.171,0.035
nyc.speedtest.clouvider.net,80,96.096,96.247,96.168,0.058
nyc.speedtest.clouvider.net,90,96.133,96.224,96.174,0.034
nyc.speedtest.clouvider.net,100,96.2,96.333,96.248,0.051
nyc.speedtest.clouvider.net,110,96.065,96.348,96.249,0.113
nyc.speedtest.clouvider.net,120,96.097,96.349,96.21,0.091
nyc.speedtest.clouvider.net,130,96.148,96.222,96.189,0.026
nyc.speedtest.clouvider.net,140,96.14,96.188,96.158,0.018
nyc.speedtest.clouvider.net,150,96.152,96.216,96.188,0.028
nyc.speedtest.clouvider.net,160,96.109,96.186,96.162,0.031
nyc.speedtest.clouvider.net,170,96.14,96.213,96.174,0.03
nyc.speedtest.clouvider.net,180,96.152,96.367,96.219,0.086
nyc.speedtest.clouvider.net,190,96.089,96.224,96.179,0.054
nyc.speedtest.clouvider.net,200,96.093,96.256,96.174,0.064
nyc.speedtest.clouvider.net,210,96.349,99.51,98.703,1.359
nyc.speedtest.clouvider.net,220,99.473,99.473,99.473,0.0
nyc.speedtest.clouvider.net,410,96.218,96.257,96.235,0.016
nyc.speedtest.clouvider.net,420,96.205,96.994,96.486,0.301
nyc.speedtest.clouvider.net,430,96.134,96.391,96.267,0.097
nyc.speedtest.clouvider.net,440,96.1,96.73,96.356,0.236
nyc.speedtest.clouvider.net,450,96.125,96.183,96.148,0.021
nyc.speedtest.clouvider.net,460,96.131,96.537,96.267,0.158
nyc.speedtest.clouvider.net,470,96.087,96.187,96.154,0.039
nyc.speedtest.clouvider.net,480,96.176,96.269,96.218,0.035
nyc.speedtest.clouvider.net,490,96.212,96.518,96.362,0.126
nyc.speedtest.clouvider.net,500,96.189,96.285,96.22,0.038
nyc.speedtest.clouvider.net,510,96.171,96.273,96.214,0.04
nyc.speedtest.clouvider.net,520,96.124,96.314,96.217,0.07
nyc.speedtest.clouvider.net,530,96.121,96.255,96.165,0.053
nyc.speedtest.clouvider.net,540,96.136,96.446,96.25,0.117
nyc.speedtest.clouvider.net,550,96.133,96.366,96.218,0.088
nyc.speedtest.clouvider.net,560,96.123,96.375,96.235,0.09
nyc.speedtest.clouvider.net,570,96.183,96.418,96.244,0.1
nyc.speedtest.clouvider.net,580,96.125,96.192,96.157,0.024
nyc.speedtest.clouvider.net,590,96.043,96.226,96.141,0.066
nyc.speedtest.clouvider.net,600,96.107,96.137,96.121,0.01
nyc.speedtest.clouvider.net,610,96.081,96.351,96.189,0.099
nyc.speedtest.clouvider.net,620,96.133,96.212,96.176,0.029
nyc.speedtest.clouvider.net,630,96.109,96.22,96.163,0.042
nyc.speedtest.clouvider.net,640,96.134,96.433,96.238,0.116
nyc.speedtest.clouvider.net,650,96.18,96.364,96.29,0.067
nyc.speedtest.clouvider.net,660,96.163,96.219,96.188,0.021
nyc.speedtest.clouvider.net,670,96.078,96.222,96.173,0.057
nyc.speedtest.clouvider.net,680,96.166,96.456,96.263,0.113
nyc.speedtest.clouvider.net,690,96.214,96.247,96.231,0.013
nyc.speedtest.clouvider.net,700,96.123,96.573,96.286,0.177
nyc.speedtest.clouvider.net,710,96.164,96.404,96.246,0.093
nyc.speedtest.clouvider.net,720,96.168,96.23,96.199,0.024
nyc.speedtest.clouvider.net,730,96.123,96.414,96.225,0.118
nyc.speedtest.clouvider.net,740,96.137,96.205,96.171,0.025
nyc.speedtest.clouvider.net,750,96.104,96.208,96.165,0.04
nyc.speedtest.clouvider.net,760,96.112,96.383,96.201,0.106
nyc.speedtest.clouvider.net,770,96.133,96.253,96.212,0.046
nyc.speedtest.clouvider.net,780,96.113,96.244,96.183,0.049
nyc.speedtest.clouvider.net,790,96.129,96.293,96.213,0.06
